NAME OF COMPANY,TOTAL NO. OF ISSUED SHARES A+B+C,TOTAL PROMOTER HOLDING NO. OF SHARES (A),TOTAL PROMOTER HOLDING % A /(A+B+C),TOTAL PUBLIC HOLDING B,PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A),PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)],PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER VALUES(RS.CR.)=NO. OF SHARES ENCUMBERED [X] * LAST AVAILABLE CLOSING PRICE OF THE SCRIP,DISCLOSURE MADE BY PROMOTERS,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED,NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES,(%) PLEDGE / DEMAT,Values(Rs. Cr.),BROADCAST DATE
Uravi T and Wedge Lamps Limited,11000000,8000000,72.73,3000000,3187600,39.85,28.98,,10/7/24 11:30,2435840,11000000,22.14,,10/7/24 11:30
Usha Martin Education & Solutions Limited,26415811,10825235,40.98,15590576,0,0,0,,10/7/24 11:30,106902,25842651,0.41,,10/7/24 11:30
Usha Martin Limited,304742010,140003171,45.94,164738839,0,0,0,,10/7/24 11:30,30332947,303937475,9.98,,10/7/24 11:30
Uttam Sugar Mills Limited,38138120,28370553,74.39,9767567,0,0,0,,10/7/24 11:30,1158873,37996702,3.05,,10/7/24 11:30
V-Mart Retail Limited,19776874,8767948,44.33,11008926,0,0,0,,10/7/24 11:30,95999,19786929,0.49,,10/7/24 11:30
V.S.T Tillers Tractors Limited,8639528,4806590,55.63,3832938,0,0,0,,10/7/24 11:30,191498,8561692,2.24,,10/7/24 11:30
V2 Retail Limited,34589341,18781029,54.3,15808312,0,0,0,,10/7/24 11:30,2474371,34519256,7.17,,10/7/24 11:30
VA Tech Wabag Limited,62190428,11895168,19.13,50295260,0,0,0,,10/7/24 11:30,5730827,62190176,9.22,,10/7/24 11:30
VIP Clothing Limited,82596519,40955538,49.59,41640981,7154412,17.47,8.66,,10/7/24 11:30,12144156,81838430,14.84,,10/7/24 11:30
VIP Industries Limited,141972601,73467677,51.75,68504924,0,0,0,,10/7/24 11:30,6264501,140620599,4.45,,10/7/24 11:30
VLS Finance Limited,34795992,17691936,50.84,17104056,0,0,0,,10/7/24 11:30,1366040,31706212,4.31,,10/7/24 11:30
VRL Logistics Limited,87468495,52690971,60.24,34777524,0,0,0,,10/7/24 11:30,637943,87468495,0.73,,10/7/24 11:30
VST Industries Limited,169861120,54942382,32.35,114918738,0,0,0,,10/7/24 11:30,3927481,169601516,2.32,,10/7/24 11:30
Vadilal Industries Limited,7187830,4652404,64.73,2535426,2000,0.04,0.03,,10/7/24 11:30,586925,7078483,8.29,,10/7/24 11:30
Vaibhav Global Limited,165908978,95084857,57.31,70824121,0,0,0,,10/7/24 11:30,7299164,166074965,4.4,,10/7/24 11:30
Vakrangee Limited,1076574857,451353165,41.92,625221692,35000000,7.75,3.25,,10/7/24 11:30,141230893,1058310366,13.34,,10/7/24 11:30
Valecha Engineering Limited,22530025,4076676,18.09,18453349,500000,12.26,2.22,,10/7/24 11:30,603228,22238018,2.71,,10/7/24 11:30
Valiant Organics Limited,27575049,10414815,37.77,17160234,21559,0.21,0.08,,10/7/24 11:30,1963657,27575049,7.12,,10/7/24 11:30
Valor Estate Limited,538465491,255135618,47.38,283329873,107409641,42.1,19.95,,10/7/24 11:30,193349766,538464989,35.91,,10/7/24 11:30
Value Industries Limited,39185675,18322416,46.76,20863259,0,0,0,,10/7/24 11:30,268936,34976051,0.77,,10/7/24 11:30
Vardhman Acrylics Limited,80363746,60249160,74.97,20114586,0,0,0,,10/7/24 11:30,1263135,80362336,1.57,,10/7/24 11:30
Vardhman Holdings Limited,3191536,2390441,74.9,801095,0,0,0,,10/7/24 11:30,56545,3163865,1.79,,10/7/24 11:30
Vardhman Polytex Limited,272909570,134097910,49.14,138811660,109312020,81.52,40.05,,10/7/24 11:30,113346044,269833830,42.01,,10/7/24 11:30
Vardhman Special Steels Limited,81459828,49331578,60.56,32128250,0,0,0,,10/7/24 11:30,2065646,81242188,2.54,,10/7/24 11:30
Vardhman Textiles Limited,289174800,185621719,64.19,103553081,0,0,0,,10/7/24 11:30,3971827,287304555,1.38,,10/7/24 11:30
Varun Beverages Limited,1299440413,814286756,62.66,485153657,316408,0.04,0.02,,10/7/24 11:30,17193925,105980327,16.22,,10/7/24 11:30
Vascon Engineers Limited,223837111,69982920,31.27,153854191,19517124,27.89,8.72,,10/7/24 11:30,43718589,223837111,19.53,,10/7/24 11:30
Vaswani Industries Limited,30000000,17500000,58.33,12500000,0,0,0,,10/7/24 11:30,275737,30000000,0.92,,10/7/24 11:30
Vedanta Limited,3717206239,2211451850,59.49,1505754389,2204724753,99.7,59.31,,10/7/24 11:30,98189395,3904679714,2.51,,10/7/24 11:30
Venky's (India) Limited,14087336,7903966,56.11,6183370,0,0,0,,10/7/24 11:30,858226,13787989,6.22,,10/7/24 11:30
Venus Pipes & Tubes Limited,20296110,9879624,48.68,10416486,0,0,0,,10/7/24 11:30,2300766,20296109,11.34,,10/7/24 11:30
Venus Remedies Limited,13366988,5581997,41.76,7784991,0,0,0,,10/7/24 11:30,391651,13259102,2.95,,10/7/24 11:30
Veranda Learning Solutions Limited,71273496,39113150,54.88,32160346,14169855,36.23,19.88,,10/7/24 11:30,16982839,71382595,23.79,,10/7/24 11:30
Vesuvius India Limited,20296080,11277650,55.57,9018430,0,0,0,,10/7/24 11:30,625728,20139850,3.11,,10/7/24 11:30
Videocon Industries Limited,334458875,133603653,39.95,200855222,133264547,99.75,39.84,,10/7/24 11:30,137252439,332899097,41.23,,10/7/24 11:30
Viji Finance Limited,82500000,42093410,51.02,40406590,0,0,0,,10/7/24 11:30,407452,141733700,0.29,,10/7/24 11:30
Vikas EcoTech Limited,1768706024,188471181,10.66,1580234843,4068515,2.16,0.23,,10/7/24 11:30,47095757,1766264133,2.67,,10/7/24 11:30
Vikas Lifecare Limited,1857668560,264962468,14.26,1592706092,68000,0.03,0,,10/7/24 11:30,54996954,1755685863,3.13,,10/7/24 11:30
Vimta Labs Limited,22170583,8179315,36.89,13991268,0,0,0,,10/7/24 11:30,670584,21992404,3.05,,10/7/24 11:30
Vinati Organics Limited,103665632,77004774,74.28,26660858,650000,0.84,0.63,,10/7/24 11:30,1483263,103096122,1.44,,10/7/24 11:30
Vindhya Telelinks Limited,11850863,5160205,43.54,6690658,0,0,0,,10/7/24 11:30,945584,11725024,8.06,,10/7/24 11:30
Vinny Overseas Limited,232623311,167197580,71.87,65425731,0,0,0,,10/7/24 11:30,1095039,465246622,0.24,,10/7/24 11:30
Vinyl Chemicals (India) Limited,18337111,9244578,50.41,9092533,0,0,0,,10/7/24 11:30,457490,17825256,2.57,,10/7/24 11:30
Vipul Limited,140959480,72608717,51.51,68350763,7900000,10.88,5.6,,10/7/24 11:30,17543606,140672753,12.47,,10/7/24 11:30
Virinchi Limited,101019533,37976924,37.59,63042609,3906679,10.29,3.87,,10/7/24 11:30,17741166,101620400,17.46,,10/7/24 11:30
Visa Steel Limited,115789500,55887167,48.27,59902333,44387167,79.42,38.33,,10/7/24 11:30,68508625,115789000,59.17,,10/7/24 11:30
Visagar Polytex Limited,292700534,16488533,5.63,276212001,13800000,83.69,4.71,,10/7/24 11:30,16788976,292134956,5.75,,10/7/24 11:30
Visaka Industries Limited,86404760,41836245,48.42,44568515,5130000,12.26,5.94,,10/7/24 11:30,13427298,85780340,15.65,,10/7/24 11:30
Visesh Infotecnics Limited,3774436655,73694990,1.95,3700741665,0,0,0,,10/7/24 11:30,64002910,3765640229,1.7,,10/7/24 11:30
Vishnu Chemicals Limited,65527195,44797530,68.36,20729665,1720000,3.84,2.62,,10/7/24 11:30,2577651,65323670,3.95,,10/7/24 11:30
Vishwaraj Sugar Industries Limited,187780000,63272310,33.69,124507690,0,0,0,,10/7/24 11:30,10589440,210034200,5.04,,10/7/24 11:30
Visu International Limited,38330000,5527974,14.42,32802026,0,0,0,,10/7/24 11:30,288528,37973287,0.76,,10/7/24 11:30
Vivimed Labs Limited,82913915,17364635,20.94,65549280,6435933,37.06,7.76,,10/7/24 11:30,8414019,81513955,10.32,,10/7/24 11:30
Vodafone Idea Limited,67878883772,25910460182,38.17,41968423590,0,0,0,,10/7/24 11:30,1297803273,69699799560,1.86,,10/7/24 11:30
Voltamp Transformers Limited,10117120,3844462,38,6272658,0,0,0,,10/7/24 11:30,142493,10117010,1.41,,10/7/24 11:30
Voltas Limited,330884740,100253480,30.3,230631260,0,0,0,,10/7/24 11:30,2591992,327106836,0.79,,10/7/24 11:30
W S Industries (I) Limited,60849831,38268908,62.89,22580923,0,0,0,,10/7/24 11:30,1642116,60477201,2.72,,10/7/24 11:30
Walchandnagar Industries Limited,55407180,17483581,31.55,37923599,11042285,63.16,19.93,,10/7/24 11:30,13223083,55053892,24.02,,10/7/24 11:30
Wanbury Limited,32745498,13029561,39.79,19715937,9998304,76.74,30.53,,10/7/24 11:30,11568004,29510036,39.2,,10/7/24 11:30
Websol Energy System Limited,42206347,11693731,27.71,30512616,9851762,84.25,23.34,,10/7/24 11:30,12532173,41924271,29.89,,10/7/24 11:30
Weizmann Limited,15859021,10764173,67.87,5094848,0,0,0,,10/7/24 11:30,43843,15146518,0.29,,10/7/24 11:30
Welspun Corp Limited,262224895,131274871,50.06,130950024,0,0,0,,10/7/24 11:30,25326186,262156534,9.66,,10/7/24 11:30
Welspun Enterprises Limited,138413810,77354962,55.89,61058848,0,0,0,,10/7/24 11:30,13082811,138222875,9.47,,10/7/24 11:30
Welspun Investments and Commercials Limited,3654476,2725574,74.58,928902,0,0,0,,10/7/24 11:30,16912,3631056,0.47,,10/7/24 11:30
Welspun Living Limited,971808484,694915012,71.51,276893472,0,0,0,,10/7/24 11:30,29723163,956965511,3.11,,10/7/24 11:30
Wendt (India) Limited,2000000,1500000,75,500000,0,0,0,,10/7/24 11:30,12144,1987517,0.61,,10/7/24 11:30
West Coast Paper Mills Limited,66048908,37337535,56.53,28711373,0,0,0,,10/7/24 11:30,4106621,65289167,6.29,,10/7/24 11:30
Wheels India Limited,24433012,14246536,58.31,10186476,0,0,0,,10/7/24 11:30,643172,24294712,2.65,,10/7/24 11:30
Whirlpool of India Limited,126871830,64704633,51,62167197,0,0,0,,10/7/24 11:30,822528,126090608,0.65,,10/7/24 11:30
Williamson Magor & Company Limited,10956360,6794443,62.01,4161917,0,0,0,,10/7/24 11:30,79587,10538422,0.76,,10/7/24 11:30
Windsor Machines Limited,64931800,38000012,58.52,26931788,0,0,0,,10/7/24 11:30,3799785,64213495,5.92,,10/7/24 11:30
Winsome Yarns Limited,70707229,27339609,38.67,43367620,25979609,95.03,36.74,,10/7/24 11:30,26133352,69942182,37.36,,10/7/24 11:30
Wipro Limited,5230164205,3814373189,72.93,1415791016,0,0,0,,10/7/24 11:30,24052481,5226617462,0.46,,10/7/24 11:30
Wockhardt Limited,153400936,79758848,51.99,73642088,29884800,37.47,19.48,,10/7/24 11:30,34115054,153025750,22.29,,10/7/24 11:30
Wonderla Holidays Limited,56573319,39479948,69.79,17093371,0,0,0,,10/7/24 11:30,1360475,56572564,2.4,,10/7/24 11:30
Xchanging Solutions Limited,111403716,83552787,75,27850929,0,0,0,,10/7/24 11:30,3936348,111309347,3.54,,10/7/24 11:30
Xpro India Limited,22034641,9355926,42.46,12678715,0,0,0,,10/7/24 11:30,750119,21800029,3.44,,10/7/24 11:30
Yaari Digital Integrated Services Limited,100442259,29331967,29.2,71110292,0,0,0,,10/7/24 11:30,4339994,100426842,4.32,,10/7/24 11:30
Yasho Industries Limited,11399200,8198165,71.92,3201035,2950,0.04,0.03,,10/7/24 11:30,365601,11399200,3.21,,10/7/24 11:30
Yatharth Hospital & Trauma Care Services Limited,85850233,57126784,66.54,28723449,0,0,0,,10/7/24 11:30,2912070,85850233,3.39,,10/7/24 11:30
Yes Bank Limited,31335661712,0,0,31335661712,0,,0,,10/7/24 11:30,4262671848,31346691087,13.6,,10/7/24 11:30
ZF Commercial Vehicle Control Systems India Limited,18967584,12800684,67.49,6166900,0,0,0,,10/7/24 11:30,108782,18907184,0.58,,10/7/24 11:30
ZUARI INDUSTRIES LIMITED,29781184,16918079,56.81,12863105,0,0,0,,10/7/24 11:30,1981086,29594593,6.69,,10/7/24 11:30
Zee Entertainment Enterprises Limited,960519420,38316284,3.99,922203136,2060000,5.38,0.21,,10/7/24 11:30,196260856,959767615,20.45,,10/7/24 11:30
Zee Learn Limited,326092725,49087388,15.05,277005337,14313500,29.16,4.39,,10/7/24 11:30,44894332,326722422,13.74,,10/7/24 11:30
Zee Media Corporation Limited,625428680,2627659,0.42,622801021,0,0,0,,10/7/24 11:30,89873070,625176971,14.38,,10/7/24 11:30
Zen Technologies Limited,84044260,46726843,55.6,37317417,0,0,0,,10/7/24 11:30,3485418,90193086,3.86,,10/7/24 11:30
Zenith Exports Limited,5396250,2457556,45.54,2938694,0,0,0,,10/7/24 11:30,1492,5365913,0.03,,10/7/24 11:30
Zenith Steel Pipes & Industries Limited,142280448,22257157,15.64,120023291,45000,0.2,0.03,,10/7/24 11:30,1568377,141365437,1.11,,10/7/24 11:30
Zensar Technologies Limited,226669140,111443270,49.17,115225870,0,0,0,,10/7/24 11:30,4722129,225859661,2.09,,10/7/24 11:30
Zicom Electronic Security Systems Limited,41224141,1804619,4.38,39419522,925000,51.26,2.24,,10/7/24 11:30,1447276,41125600,3.52,,10/7/24 11:30
Zodiac Clothing Company Limited,25993717,18560732,71.4,7432985,0,0,0,,10/7/24 11:30,284012,25950416,1.09,,10/7/24 11:30
Zota Health Care LImited,26534327,17097567,64.44,9436760,48700,0.28,0.18,,10/7/24 11:30,1830079,26504343,6.9,,10/7/24 11:30
Zuari Agro Chemicals Limited,42058006,27454960,65.28,14603046,12838477,46.76,30.53,,10/7/24 11:30,14729279,41906747,35.15,,10/7/24 11:30
Zydus Lifesciences Limited,1006233990,754464049,74.98,251769941,0,0,0,,10/7/24 11:30,5437433,1004814390,0.54,,10/7/24 11:30
